Player_Id,Display_Name,Aliases,Category,Hand,Preferred_Side,Notes
p-german-h,GermanH,German,Regular,Right,Both,Owner del sistema
p-agu-b,AguB,-,Regular,-,-,-
p-agustin-g,AgustinG,-,Regular,-,-,-
p-andy-v,AndyV,-,Regular,-,-,-
p-bruno-r,BrunoR,-,Regular,-,-,-
p-diego-b,DiegoB,-,Regular,-,-,-
p-emi-r,EmiR,-,Regular,-,-,-
p-emma-r,EmmaR,-,Regular,-,-,-
p-faka,Faka,"\"Faka\"",Regular,-,-,-
p-giacomelli,Giacomelli,-,Tournament,-,-,Torneo 7ma categoria
p-gonzalo-r,GonzaloR,-,Regular,-,-,-
p-guido-a,GuidoA,-,Regular,-,-,-
p-guido-r,GuidoR,Guidor,Regular,-,-,-
p-javier-p,JavierP,-,Regular,-,-,-
p-jorge-u,JorgeU,-,Regular,-,-,-
p-juan-c,JuanC,-,Regular,-,-,-
p-juan-g,JuanG,-,Regular,-,-,-
p-juan-l,JuanL,-,Regular,-,-,-
p-juan-s,JuanS,-,Regular,-,-,-
p-juani-g,JuaniG,-,Regular,-,-,-
p-juanpi-g,JuanpiG,JPG|JuanpG|JuampiG,Regular,-,-,-
p-lean-r,LeanR,-,Regular,-,-,-
p-lucero,Lucero,-,Tournament,-,-,Torneo 7ma categoria
p-lucho-g,LuchoG,-,Regular,-,-,-
p-matias-f,MatiasF,-,Regular,-,-,-
p-mauro-p,MauroP,-,Regular,-,-,-
p-navarro,Navarro,-,Tournament,-,-,Torneo 7ma categoria
p-negro,Negro,-,Regular,-,-,-
p-nico-c,NicoC,-,Regular,-,-,-
p-nito,Nito,-,Regular,-,-,-
p-pablito,Pablito,-,Regular,-,-,-
p-patts,Patts,-,Regular,-,-,-
p-rafa-g,RafaG,-,Regular,-,-,-
p-sanchez,Sanchez,-,Tournament,-,-,Torneo 7ma categoria
p-sher,Sher,-,Regular,-,-,-
p-tico-r,TicoR,-,Regular,-,-,-
p-tomino,Tomino,-,Regular,-,-,-
