Date,Protein,Creatine,Collagen,Magnesium,Retinol,Ashwagandha
2026-05-06,True,True,True,True,-,False
2026-05-07,True,True,True,True,-,False
2026-05-08,True,True,True,True,-,True
2026-05-09,True,True,True,True,-,True
2026-05-10,True,True,True,True,-,True
2026-05-11,True,True,True,True,True,True
2026-05-12,True,True,True,True,True,True
2026-05-13,True,True,True,True,True,False
2026-05-14,True,True,True,True,True,False
2026-05-15,True,True,True,True,True,True
2026-05-16,True,True,True,True,True,True
2026-05-17,True,True,True,True,True,True
2026-05-18,True,True,True,True,True,True
2026-05-19,True,True,True,True,True,True
2026-05-20,True,True,True,True,True,False
2026-05-21,True,True,True,True,True,False
2026-05-22,True,True,True,True,True,True
2026-05-24,True,True,True,True,True,True
2026-05-25,True,True,True,True,True,True
2026-05-26,True,True,True,True,True,True
2026-05-27,True,True,True,True,True,True
2026-05-28,True,True,True,True,True,False
2026-05-29,True,True,True,True,True,False
2026-05-31,True,True,True,True,True,True
2026-06-01,True,True,True,True,True,True
2026-06-02,True,True,True,True,True,True
2026-06-03,True,True,True,True,True,True
2026-06-04,True,True,True,True,True,True
2026-06-05,True,True,True,True,True,False
2026-06-06,True,True,True,True,True,False
2026-06-07,True,True,True,True,True,True
2026-06-08,True,True,True,True,True,True
2026-06-09,True,True,True,False,False,False
2026-06-10,True,True,True,True,True,True
